file,kAngle,bAngle,kScore,bScore,oScore
men85kg_0023.mp4,81.31888363866952,2.974479115379677,1.6318883638669526,9.900850696154011,4.11257706355307
men85kg_0019.mp4,80.04474829306767,1.3148784584532822,1.5044748293067673,9.956170718051558,4.039983595930204
men85kg_0002.mp4,79.72086010708605,1.460443762352373,1.4720860107086047,9.95131854125492,4.015855769872499
men85kg_0004.mp4,64.67821133176379,2.7457662128249773,-0.03217886682362092,9.908474459572501,2.9500171310952155
men85kg_0024.mp4,105.70718575841273,1.7173778139218532,4.070718575841274,9.942754072869272,5.832329224949673
men85kg_0005.mp4,94.19442229711177,1.7078727895053096,2.9194422297111773,9.943070907016489,5.02653083290277
men85kg_0003.mp4,77.21703416039459,1.3609389856292027,1.2217034160394586,9.954635367145693,3.841583001371329
men85kg_0007.mp4,83.4286157445964,1.56416389642709,1.84286157445964,9.94786120345243,4.274361463157478
men85kg_0020.mp4,114.98625608664817,2.9191056593268594,4.998625608664817,9.902696478022438,6.469846869472103
men85kg_0013.mp4,87.61270043596558,1.4643878436306048,2.261270043596558,9.95118707187898,4.568245152081285
men85kg_0015.mp4,67.47818143207219,1.5091613440385556,0.24781814320721907,9.949694621865381,3.158381086804668
men85kg_0018.mp4,90.81612396223687,1.4210216112080762,2.5816123962236874,9.95263261295973,4.7929184612445
men85kg_0001.mp4,162.93962865093067,2.5588783255672767,9.793962865093068,9.914704055814424,9.830185222309476
men85kg_0025.mp4,100.54415316837274,3.518135176275732,3.5544153168372743,9.882728827457475,5.452909370023335
men85kg_0016.mp4,88.70858851822409,1.4321736901596116,2.370858851822409,9.95226087699468,4.64527945937409
men85kg_0012.mp4,101.49407216396968,1.2569262518819158,3.649407216396968,9.958102458270602,5.542015788959058
men85kg_0026.mp4,61.55267968884746,2.6857247993121582,-0.3447320311152531,9.910475840022928,2.7318303302262015
men85kg_0027.mp4,96.4388220803044,2.0990806136232454,3.1438822080304405,9.930030646212558,5.1797267394850754
men85kg_0006.mp4,65.95004517559795,1.0786121452797368,0.09500451755979533,9.96404626182401,3.0557170408390597
